usage,timing_ms
9,2078.25
9,2140.38
10,2140.55
9,2145.49
9,2143.04
10,2172.66
10,2172.29
10,2173.23
10,2173.34
9,2176.36
10,2079.14
10,2165.17
10,2076.8
10,2158.31
10,2161.33
10,2152.58
10,2153.01
10,2152.7
10,2079.8
10,2073.07
10,2084.96
10,2078.38
11,2135.08
10,2137.55
10,2136.91
11,2178.6
11,2179.5
11,2183.94
10,2183.23
11,2186.17
11,2149.74
11,2176.64
11,2210.28
11,2163.69
11,2167.11
11,2169.28
11,2172.34
11,2172.12
11,2099.54
11,2077.19
11,2085.15
11,2095.2
11,2140.96
11,2143.1
12,2145.47
12,2200.3
11,2198.46
12,2193.48
12,2212.02
12,2211.13
12,2142.49
12,2158.03
12,2186.24
12,2188.07
12,2194.42
12,2163.33
12,2162.53
12,2211.16
12,2147.18
12,2094.41
12,2146.49
12,2099.74
12,2116.47
12,2123.2
13,2123.61
12,2157.25
13,2190.44
13,2182.15
13,2198.11
13,2196.1
13,2166.87
13,2228.02
13,2225.31
13,2228.66
13,2213.15
13,2197.82
13,2202.57
13,2193.92
13,2168.26
13,2074.46
13,2076.06
13,2073.26
13,2119.68
13,2120.94
14,2119.85
13,2137.75
14,2146.17
14,2186.8
14,2191.44
14,2192.44
14,2229.24
14,2224.53
14,2205.08
14,2190.64
14,2199.19
14,2214.44
14,2216.73
14,2214.91
14,2180.74
14,2166.88
14,2161.98
14,2077.47
14,2118.84
15,2118.1
14,2120.99
15,2125.95
14,2135.73
15,2175.01
15,2170.6
15,2192.65
15,2201.59
15,2215.3
15,2174.88
15,2200.16
15,2175.56
15,2225.72
15,2224.58
15,2219.79
15,2224.9
15,2176.34
15,2235.61
15,2092.33
15,2117.11
16,2116.31
15,2119.24
16,2138.5
15,2145.04
16,2153.02
16,2146.33
16,2148.06
16,2134.04
16,2141.69
16,2190.25
16,2183.12
16,2169.88
16,2182.0
16,2217.07
16,2217.16
16,2224.01
16,2216.75
16,2214.54
16,2114.87
16,2117.7
17,2117.77
16,2130.8
17,2139.32
16,2116.71
17,2144.99
17,2155.42
17,2155.0
17,2124.73
17,2142.54
17,2203.92
17,2201.36
17,2193.45
17,2146.66
17,2222.07
17,2223.01
